name,root_url,platform,subjects,reason_to_inspect,link_pattern,map_or_highlights,discovered_via,access_and_rights_snapshot,scope_fit,primary_category
"Animal Legal Defense Fund","https://aldf.org/","legal nonprofit","animal law; cases; legislation; legal education","Case reporting, legal analysis, model laws, and educational material from a large animal-law organization.","root plus highlights","https://aldf.org/state_rankings/2025-u-s-animal-protection-laws-rankings/; https://aldf.org/resources/","publication network expansion","Public HTML observed 2026-08-20; site copyright applies.","focused legal source","law"
"Center for Effective Vegan Advocacy","https://www.veganadvocacy.org/","advocacy education nonprofit","vegan advocacy; communication; behavior change","Practical material on communicating about animals and animal-product consumption more effectively.","focused root","","publication network expansion","Public HTML observed 2026-08-20; no general reuse license recorded.","candidate strategy source","strategy"
"NYU Wild Animal Welfare Program","https://www.wildanimalwelfare.org/","academic program","wild-animal welfare; law; policy; research","Research and events on legal and policy questions raised by the welfare of free-living animals.","focused root","","publication network expansion","Public HTML observed 2026-08-20; NYU copyright applies.","focused academic source","wild"
"Good Food Institute","https://gfi.org/","research nonprofit","alternative protein; cultivated meat; plant-based food; policy","Open research, market data, and policy work on alternatives to animal agriculture.","root plus highlights","https://gfi.org/resource/environmental-impacts-of-alternative-proteins/; https://gfi.org/science/the-science-of-cultivated-meat/","publication network expansion","Public HTML and reports observed 2026-08-20; item-level reuse terms apply.","focused food-system source","farmed"
"New Harvest","https://new-harvest.org/","research nonprofit","cellular agriculture; cultivated meat; food systems","Research and technical writing from an early nonprofit funder of cellular agriculture.","focused root","","publication network expansion","Public HTML observed 2026-08-20; item-level rights apply.","focused food-system source","farmed"
"FishEthoGroup","https://fishethogroup.net/","research group","fish welfare; ethology; aquaculture; species profiles","Species-level evidence on fish behavior and welfare in aquaculture.","root plus highlights","https://fishethogroup.net/whatwedo/research/; https://fishethogroup.net/whatwedo/dissemination/papers/","publication network expansion","Public HTML and documents observed 2026-08-20; item-level rights apply.","focused aquatic source","aquatic"
"Crustacean Compassion","https://www.crustaceancompassion.org/","nonprofit","decapod sentience; crustacean welfare; law; food systems","Evidence and policy material on lobsters, crabs, prawns, and other decapod crustaceans.","root plus highlights","https://www.crustaceancompassion.org/resources","publication and niche-resource expansion","Public HTML and downloadable resources observed 2026-08-20; site and item-level copyright applies.","focused aquatic source","aquatic"
"Global Animal Law","https://www.globalanimallaw.org/","legal research nonprofit","comparative animal law; constitutions; legislation; global policy","A cross-country database and research program for comparing animal-protection law.","root plus highlights","https://www.globalanimallaw.org/database/national/index.html; https://www.globalanimallaw.org/database/universal.html","publication network expansion","Public HTML and legal indexes observed 2026-08-20; database and site terms apply.","focused legal source","law"
"Animal Justice Project","https://www.animaljusticeproject.com/","investigations nonprofit","factory farming; investigations; campaigns; UK","Investigation material and reporting on farms, slaughterhouses, and animal experimentation in the UK.","focused root","","publication network expansion","Public HTML observed 2026-08-20; site copyright applies.","candidate investigations source","farmed"
"Animal Save Movement","https://thesavemovement.org/","advocacy network","animal agriculture; eyewitness testimony; global movement","First-person documentation and campaign writing from vigils at slaughterhouses around the world.","focused root","","publication network expansion","Public HTML observed 2026-08-20; site copyright applies.","candidate movement source","strategy"
"We Animals","https://weanimals.org/","photojournalism nonprofit","animal industries; photojournalism; investigations; global documentation","A large visual record of animals used in food, fashion, entertainment, and research across many countries.","root plus highlights","https://weanimals.org/our-work/animal-photojournalism/; https://stock.weanimals.org/","publication network expansion","Public HTML and image archive observed 2026-08-20; photographs are licensed individually and are not generally free to reuse.","focused documentation source","strategy"
"Fish Feel","https://fishfeel.org/","nonprofit","fish sentience; welfare; fishing; aquaculture","Accessible evidence and advocacy material focused exclusively on fishes as sentient individuals.","focused root","","publication network expansion","Public HTML observed 2026-08-20; site copyright applies.","focused aquatic source","aquatic"
"Animal Law Review","https://law.lclark.edu/law_reviews/animal_law_review/","academic journal","animal law; legal scholarship; policy","A specialist law review publishing legal scholarship about animals since 1994.","section root","","publication network expansion","Public metadata and mixed full text observed 2026-08-20; article and publisher rights vary.","focused legal journal","law"
"Animal Outlook","https://animaloutlook.org/","investigations nonprofit","factory farming; investigations; litigation; food systems","Investigations, legal actions, and research on animal agriculture in the United States.","focused root","","publication network expansion","Public HTML observed 2026-08-20; site copyright applies.","candidate investigations source","farmed"
"UPF Centre for Animal Ethics","https://www.upf.edu/web/cae-center-for-animal-ethics","academic center","animal ethics; communication; law; policy","Interdisciplinary animal-ethics research with useful European and multilingual perspectives.","section root","","publication network expansion","Public institutional HTML observed 2026-08-20; university copyright applies.","focused academic source","sentience"
"Animal Advocacy Careers","https://www.animaladvocacycareers.org/","research nonprofit","movement capacity; careers; skills; hiring","Research on talent, careers, and organizational constraints in the animal-advocacy movement.","focused root","","publication network expansion","Public HTML and reports observed 2026-08-20; item-level rights apply.","candidate strategy source","strategy"
"Animal Policy International","https://www.animalpolicyinternational.org/","policy nonprofit","trade policy; animal welfare standards; imports","Research on how international trade and import rules can raise or lower animal-welfare standards.","focused root","","publication network expansion","Public HTML and reports observed 2026-08-20; item-level rights apply.","focused policy source","law"
"Philosophy and Animal Minds","https://medium.com/philosophy-and-animal-minds","Medium publication","animal cognition; consciousness; philosophy","Essays by researchers and philosophers on what animal-mind science means and how it should be interpreted.","publication root","","publication network expansion","Public article pages observed 2026-08-20; Medium and author terms apply and some pages may be metered.","candidate publication with access caution","sentience"
"Wild Welfare","https://wildwelfare.org/","international nonprofit","captive wild animals; zoos; sanctuaries; welfare assessment","Guidance and training material on the welfare of wild animals living under human care.","root plus highlights","https://wildwelfare.org/resources/","niche resource survey","Public HTML and resources observed 2026-08-20; item-level copyright applies.","focused captive-wildlife source","wild"
"MSD Veterinary Manual: Fish","https://www.msdvetmanual.com/exotic-and-laboratory-animals/aquarium-fish","veterinary reference section","fish health; disease; husbandry; veterinary care","A detailed clinical reference for diseases, husbandry, and treatment of aquarium fish.","section root","","niche resource survey","Public HTML observed 2026-08-20; Merck copyright and terms apply.","focused clinical reference","aquatic"
"WOAH Aquatic Animal Health Standards","https://www.woah.org/en/what-we-do/standards/codes-and-manuals/aquatic-code-online-access/","intergovernmental standards","aquatic animals; transport; slaughter; disease; standards","International standards for aquatic-animal health, transport, stunning, and killing.","section root","","niche resource survey","Public HTML observed 2026-08-20; WOAH reuse terms apply.","official aquatic policy source","aquatic"
"RSPCA Welfare Standards","https://science.rspca.org.uk/sciencegroup/farmanimals/standards","nonprofit standards","farmed animals; fish; housing; transport; slaughter","Detailed species-specific welfare standards, including standards for farmed fish.","section root","","niche resource survey","Public HTML and PDFs observed 2026-08-20; RSPCA copyright applies.","focused standards source","farmed"
"The welfare of farmed Nile tilapia","https://pmc.ncbi.nlm.nih.gov/articles/PMC12089788/","open-access review","tilapia; aquaculture; welfare; field research","A species-specific review of the biology, housing, handling, and welfare needs of one of the world's most widely farmed fishes.","article","","niche resource survey","Public full-text HTML and PDF observed 2026-08-20; CC BY 4.0 article license.","focused aquatic source","aquatic"
"Insect Welfare and Ethics Open Database","https://osf.io/8m67v/","open research dataset","insect welfare; ethics; bibliography; research data","An open bibliography and research collection for insect welfare and ethics.","dataset root","","niche resource survey","Public OSF metadata and files observed 2026-08-20; file-level licenses must be checked.","focused open-data source","aquatic"
"Buglife","https://www.buglife.org.uk/","conservation nonprofit","insects; invertebrates; pesticides; habitat; policy","Evidence and policy material on threats to terrestrial and freshwater invertebrates.","root plus highlights","https://www.buglife.org.uk/resources/","niche resource survey","Public HTML and reports observed 2026-08-20; item-level copyright applies.","broad invertebrate source","aquatic"
"Rethinking insects as alternative protein","https://www.sei.org/publications/rethinking-insects-as-alternative-protein-emerging-environmental-and-animal-welfare-considerations/","research report","insect farming; welfare; food systems; policy","A Stockholm Environment Institute report on the environmental and animal-welfare consequences of farming insects for protein.","article","","niche resource survey","Public institutional page observed 2026-08-20 but automated requests may be restricted; SEI copyright and item-level terms apply.","focused insect-welfare source","aquatic"
"USDA Animal Welfare Information Center","https://www.nal.usda.gov/animal-health-and-welfare","government information center","research animals; 3Rs; animal welfare; bibliography","A large federal information hub for replacement, reduction, refinement, laboratory-animal care, and welfare law.","section root","","niche resource survey","Public US government HTML and bibliographies observed 2026-08-20; individual linked works have their own rights.","authoritative research-animal source","research"
"PREPARE Guidelines","https://norecopa.no/prepare","research guidelines","research animals; experimental design; 3Rs; reproducibility","Detailed planning guidance for animal experiments covering welfare, design, facilities, and reproducibility.","focused root","","niche resource survey","Public HTML and documents observed 2026-08-20; Norecopa copyright and item-level terms apply.","focused methods source","research"
"NC3Rs","https://www.nc3rs.org.uk/","research nonprofit","3Rs; animal research; welfare; experimental design","Extensive practical and research material on replacing, reducing, and refining animal use in science.","root plus highlights","https://www.nc3rs.org.uk/3rs-resources","niche resource survey","Public HTML and resources observed 2026-08-20; item-level rights apply.","authoritative 3Rs source","research"
"EURL ECVAM","https://joint-research-centre.ec.europa.eu/eu-reference-laboratory-alternatives-animal-testing-eurl-ecvam_en","government laboratory","alternatives to animal testing; validation; toxicology; EU policy","The European Union reference laboratory for validating non-animal methods and reducing animal testing.","section root","","niche resource survey","Public European Commission HTML and reports observed 2026-08-20; EU reuse rules and item-level notices apply.","authoritative alternatives source","research"
"Tox21","https://tox21.gov/","government research program","toxicology; non-animal methods; high-throughput screening","A US interagency program developing faster and more human-relevant alternatives to animal toxicity testing.","focused root","","niche resource survey","Public US government HTML and data observed 2026-08-20; dataset-specific terms apply.","authoritative alternatives source","research"
"Medical Research Modernization Committee","https://www.mrmcmed.org/","medical research nonprofit","animal experiments; alternatives; systematic critique","Reviews of animal-model limitations and non-animal approaches in biomedical research.","focused root","","niche resource survey","Public HTML and reports observed 2026-08-20; organization copyright applies.","candidate research critique","research"
"Massey Animal Welfare Science and Bioethics Centre","https://www.massey.ac.nz/research/research-centres/animal-welfare-science-and-bioethics-centre/","academic research centre","welfare assessment; mental states; Five Domains","The institutional home of the Five Domains Model and research linking animals' physical conditions to their mental experiences.","root plus highlights","https://mro.massey.ac.nz/items/971a640e-1752-495f-b821-7e2e44704b17","niche resource survey","Public institutional HTML and repository article observed 2026-08-20; the highlighted article is CC BY 4.0.","foundational welfare framework","welfare-science"
"Canadian Council on Animal Care Handbooks","https://ccac.ca/en/standards/guidelines/","standards body","research animals; care guidelines; species standards","Detailed Canadian standards for the care and use of animals in research and teaching.","section root","","niche resource survey","Public HTML and PDFs observed 2026-08-20; CCAC copyright applies.","authoritative standards source","research"
"UFAW Animal Welfare Knowledge Hub","https://www.ufaw.org.uk/animal-welfare-information/animal-welfare-information","research charity knowledge base","welfare science; species guides; research; education","A long-running scientific reference with species guides, books, and research on animal welfare.","root plus highlights","https://www.ufaw.org.uk/animal-welfare-information/ufaw-handbook; https://www.ufaw.org.uk/animal-welfare-research","niche resource survey","Public HTML observed 2026-08-20; UFAW copyright applies.","broad welfare-science source","welfare-science"
"Welfare Assessment for Laboratory Animals","https://www.nc3rs.org.uk/3rs-resources/welfare-assessment","research methods guide","laboratory animals; welfare indicators; severity; monitoring","Practical methods for recognizing and measuring welfare changes in research animals.","section root","","niche resource survey","Public HTML observed 2026-08-20; NC3Rs copyright applies.","focused measurement source","research"
"Cambridge Animal Protection Program","https://www.law.cam.ac.uk/research-centres/cambridge-centre-animal-rights-law","academic legal program","animal law; rights; scholarship; policy","Cambridge-based legal scholarship and events on animal rights and protection.","section root","","niche resource survey","Public institutional HTML observed 2026-08-20; University of Cambridge copyright applies.","focused legal source","law"
"World Animal Impact Index","https://api.worldanimalprotection.org/","international policy index","animal protection; country comparison; law; policy","A country-level index comparing animal-protection laws, institutions, and policy commitments.","index root","","niche resource survey","Public interactive pages observed 2026-08-20; World Animal Protection copyright and data terms apply.","global policy data","law"
"World Federation for Animals","https://wfa.org/","international policy coalition","United Nations; global policy; animal welfare; sustainable development","Policy briefs and analysis connecting animal welfare to international institutions and development goals.","focused root","","niche resource survey","Public HTML and documents observed 2026-08-20; item-level rights apply.","global policy source","law"
"Asia for Animals Coalition","https://www.asiaforanimals.com/","regional coalition","Asia; animal protection; policy; wildlife; farmed animals","A regional hub linking reports and expertise across many animal issues in Asia.","root plus highlights","https://www.asiaforanimals.com/resources","niche resource survey","Public HTML and resources observed 2026-08-20; item-level rights apply.","regional source","strategy"
"SPCA International","https://www.spcai.org/","international nonprofit","companion animals; working animals; disaster response; global programs","Reports and program material on companion and working animals in varied international settings.","focused root","","niche resource survey","Public HTML observed 2026-08-20; site copyright applies.","global companion-animal source","companion"
"Boehringer Ingelheim Animal Health: Welfare","https://www.boehringer-ingelheim.com/animal-health/our-responsibility/animal-wellbeing","industry information section","companion animals; livestock; welfare; veterinary health","An industry perspective on animal health and welfare commitments, useful for comparison with independent standards.","section root","","niche resource survey","Public corporate HTML observed 2026-08-20; corporate copyright applies.","candidate industry source","welfare-science"
"AVMA Animal Welfare","https://www.avma.org/resources-tools/animal-health-and-welfare/animal-welfare","professional association","companion animals; veterinary policy; euthanasia; welfare","Veterinary guidelines and policy on welfare, humane endings, and the care of companion and other animals.","section root","","niche resource survey","Public HTML and policy documents observed 2026-08-20; AVMA copyright applies.","authoritative veterinary source","companion"
"International Livestock Research Institute","https://www.ilri.org/knowledge/publications","international research institute","livestock; Global South; development; animal health; food systems","A large research library on livestock systems in low- and middle-income countries, including welfare-relevant health and husbandry evidence.","publication library","","niche resource survey","Public publication metadata and mixed open files observed 2026-08-20; item-level licenses apply.","broad Global South source","global"
"ACIAR Livestock Systems","https://www.aciar.gov.au/program/livestock-systems","government research program","livestock; development; husbandry; Asia-Pacific","Applied research on livestock systems and animal health across the Asia-Pacific region.","section root","","niche resource survey","Public Australian government HTML and reports observed 2026-08-20; government reuse and item-level terms apply.","regional agriculture source","global"
"Africa Network for Animal Welfare","https://www.anaw.org/","regional nonprofit","Africa; animal welfare; law; wildlife; farmed animals","Research and programs addressing animal welfare from an African institutional perspective.","focused root","","niche resource survey","Public HTML observed 2026-08-20; organization copyright applies.","regional animal-welfare source","global"
"Animal Welfare and Antimicrobial Use","https://www.lshtm.ac.uk/research/centres/amr/research/animal-welfare","academic research program","livestock welfare; antimicrobial resistance; Global South; health","Research connecting livestock welfare, husbandry, and antimicrobial use in lower-income settings.","section root","","niche resource survey","Public institutional HTML observed 2026-08-20; LSHTM copyright and item-level terms apply.","focused Global South research","global"
"Animal Welfare Science Open Research","https://osf.io/search/?q=animal%20welfare","open research repository search","animal welfare; data; protocols; preprints; open science","A broad search across open project files, datasets, protocols, and preprints related to animal welfare.","search root","","niche resource survey","Public OSF metadata and files observed 2026-08-20; every project and file has its own license.","broad open-research index","welfare-science"
"Animal Welfare Foundation","https://www.animalwelfarefoundation.org.uk/","veterinary charity","welfare assessment; veterinary evidence; farmed animals; companion animals","Veterinary research, debates, and practical resources on assessing and improving animal welfare.","root plus highlights","https://www.animalwelfarefoundation.org.uk/research/assessing-animal-welfare/","niche resource survey","Public HTML and documents observed 2026-08-20; item-level copyright applies.","broad veterinary source","welfare-science"
"Humane Slaughter Association","https://www.hsa.org.uk/","research and training charity","slaughter; transport; stunning; emergency killing","Detailed technical guidance on transport, restraint, stunning, and killing across farmed species.","root plus highlights","https://www.hsa.org.uk/publications/online-guides","niche resource survey","Public HTML and guides observed 2026-08-20; HSA copyright applies.","focused technical source","farmed"
"Global Burden of Animal Diseases","https://animalhealthmetrics.org/","international data program","animal disease; welfare loss; livestock; global metrics","A global effort to quantify animal health and welfare losses from disease across livestock systems.","focused root","","niche resource survey","Public HTML, methods, and data products observed 2026-08-20; dataset-specific terms apply.","global measurement source","global"
"The Abolitionist Approach","https://www.abolitionistapproach.com/","philosophy and advocacy site","animal rights; abolition; veganism; legal status","Gary Francione's extensive rights-based argument against animal property status and welfare reform.","focused root","","niche resource survey","Public HTML observed 2026-08-20; author copyright applies.","prescriptive philosophical source","sentience"
"Bioethics Research Library: Animals","https://bioethics.georgetown.edu/animal-research/","academic bibliography","bioethics; animal research; ethics; bibliography","A university-curated path into bioethical literature on the use of animals in research.","section root","","niche resource survey","Public institutional HTML observed 2026-08-20; Georgetown copyright and linked-work rights apply.","focused bibliography","research"
