name,root_url,platform,subjects,reason_to_inspect,link_pattern,map_or_highlights,discovered_via,access_and_rights_snapshot,scope_fit
"Baby Gaia","https://babygaia.substack.com/","Substack","animal freedom; culture change; bilingual advocacy","Bilingual English/Spanish writing could add linguistic and cultural range.","focused root","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","focused advocacy"
"Better Life, Better World","https://mattball.substack.com/","Substack","animals; practical ethics; veganism; advocacy history","Matt Ball has decades of pragmatic animal-advocacy writing, though the root is mixed-topic.","root plus highlights","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed root"
"CAFT","https://abolishfur.substack.com/","Substack","fur; animal-rights strategy; campaigns","A concentrated source on strategy and tactics in the anti-fur movement.","focused root","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","focused advocacy"
"The Chicken Coup","https://thechickencoup.substack.com/","Substack","social science; animal advocacy; chickens","Connects behavioral and social-science evidence to animal advocacy.","focused root","","public subscriptions of Aidan Kankyoku and Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused"
"David Ramms","https://davidramms.substack.com/","Substack","vegan strategy; advocacy critique","Long-form arguments about vegan and animal-advocacy strategy outside mainstream movement framing.","focused root","","public subscriptions of Aidan Kankyoku and Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused advocacy"
"Expanding Circle","https://expandingcircle.substack.com/","Substack","animal welfare; books; moral-circle expansion","Book reviews and reflective writing may surface important texts and arguments that institutional sites miss.","focused root","","public subscriptions of Lewis Bollard and Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused"
"Feeding Progress","https://feedingprogress.com/","Substack on custom domain","animal welfare; technology; progress; food systems","Explores technical and economic routes away from animal suffering.","focused root","","public subscription of Aidan Kankyoku; recommendation from More Than Meats The Eye","Public Substack publication; per-publication robots, paywall, and license need checking.","focused future/food systems"
"Hatching Plans","https://hatchingplans.substack.com/","Substack","farm-animal welfare; philanthropy; grantmaking","The Navigation Fund's farm-animal-welfare team writes about priorities and interventions.","focused root","","public subscriptions of Aidan Kankyoku and Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused"
"How I Learned to Love Shrimp","https://howilearnedtoloveshrimp.substack.com/","Substack","farmed animals; wild animals; aquatic welfare; interviews","Interviews with practitioners can expose intervention details and underdocumented fields.","focused root","","public subscription of Aidan Kankyoku","Public Substack publication; podcast transcripts and per-publication rights need checking.","focused; audio/transcript mix"
"Capital x Welfare","https://capitalxwelfare.substack.com/","Substack","finance; economics; animal-welfare movement","Translates capital-market signals into strategy for animal welfare.","focused root","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","focused economics"
"Moral Circulation","https://ourexpandingcircle.substack.com/","Substack","applied ethics; animal welfare; moral-circle expansion","A focused applied-ethics publication with animal welfare as its main recurring subject.","focused root","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","focused ethics"
"More Than Meats The Eye","https://morethanmeatstheeye.substack.com/","Substack","meat reduction; intervention strategy; food systems","In-depth analysis of strategies for reducing global meat consumption.","focused root","","public subscriptions of Aidan Kankyoku; Lewis Bollard; Bentham's Bulldog; recommendation from Sandcastles","Public Substack publication; per-publication robots, paywall, and license need checking.","focused"
"On the Vedge","https://rorycardy.substack.com/","Substack","food transition; policy; finance; systems change","Systems-level writing on policy, economics, finance, climate, and animals.","focused root","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","focused food systems"
"The Optimist's Barn","https://optimistsbarn.substack.com/","Substack","farm-animal welfare; technology; innovation","A technology-forward view of how farmed-animal welfare might improve.","focused root","","public subscriptions of Aidan Kankyoku and Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused future"
"regressiontothemeat","https://regressiontothemeat.substack.com/","Substack","meat reduction; behavioral research","Reports and comments on empirical research intended to reduce meat consumption.","focused root","","public subscriptions of Aidan Kankyoku and Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused research commentary"
"Robert Yaman","https://robertyaman.substack.com/","Substack","animal agriculture; technology; innovation","Writing from the founder of Innovate Animal Ag can cover technologies and incentives overlooked by ethics-first sources.","root plus highlights","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed/focused industry"
"sentient futures","https://sentientfutures.substack.com/","Substack","future nonhuman welfare; opportunities; field building","Tracks work at the intersection of future trajectories and nonhuman welfare.","focused root","","public subscriptions of Aidan Kankyoku and Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused future"
"Shallow Diver","https://shallowdiver.substack.com/","Substack","animal issues; advocacy; philosophy","An individual writer's mixed but mostly animal-focused analysis.","root plus highlights","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","mostly focused"
"Slightly Tofu","https://jinchieng.substack.com/","Substack","animal rights; veganism; China; bilingual transcripts","Chinese animal-rights discussion with readable transcripts fills a major geographic and linguistic gap.","focused root","","public subscription of Aidan Kankyoku","Public Substack publication; transcript availability and per-publication rights need checking.","focused; Chinese context"
"Special Interests","https://ulazarosa.substack.com/","Substack","ethics; animal advocacy; plant-based food","A philosopher's mixed publication that may add argument styles and activist reflection.","root plus highlights","","public subscription of Aidan Kankyoku","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed root"
"United States of Exception","https://statesofexception.substack.com/","Substack","animal welfare; effective altruism; rights; foreign policy","Mixed-topic moral writing that places animal welfare beside recognized human harms.","root plus highlights","","public subscriptions of Aidan Kankyoku; Lewis Bollard; Flo Bacus; Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed root"
"The Vegan Strategist","https://tobiasleenaert.substack.com/","Substack","advocacy strategy; food systems; veganism","A large pragmatic corpus on how social and dietary change happens.","focused root","","public subscriptions of Aidan Kankyoku; Lewis Bollard; Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused advocacy"
"Per Se","https://theperse.substack.com/","Substack","animals; ethics; philosophy","A concise publication explicitly centered on animals, ethics, and philosophy.","focused root","","public subscription of Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused ethics"
"Project Slingshot UK","https://projectslingshotuk.substack.com/","Substack","factory farming; investigations; campaigns","Campaign and investigative material focused on factory farming and agricultural power.","focused root","","public subscription of Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused advocacy/reporting"
"RP Strategic Animal Insights","https://rpstrategicanimalinsights.substack.com/","Substack","movement strategy; research translation; philanthropy; policy","Rethink Priorities translates animal-welfare research for funders, policymakers, and advocates.","focused root","","public subscription of Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused research translation"
"Travis Talks","https://travistalks.substack.com/","Substack","animal ethics; metaethics; moral philosophy","Animal ethics argued in the language of academic moral philosophy.","focused root","","public subscription of Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused ethics"
"FarmKind","https://farmkind.substack.com/","Substack","factory farming; philanthropy; charity evaluation","Accessible writing about effective giving for farmed animals and the case for prioritizing their suffering.","focused root","","public subscription of Flo Bacus; recommendation from Moral Law Within","Public Substack publication; per-publication robots, paywall, and license need checking.","focused"
"DawnWatch","https://dawnwatch.substack.com/","Substack","animal issues; media; framing; news","Tracks animal coverage and argues for better media treatment of animal issues.","focused root","","public subscriptions of Peter Singer and Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused media"
"Food Systems Strategy with Elysabeth","https://elysabethalfano.substack.com/","Substack","food systems; investment; alternative protein","Business and investment analysis of food-system transformation.","root plus highlights","","public subscription of Peter Singer","Public Substack publication; per-publication robots, paywall, and license need checking.","focused industry"
"Paul Shapiro","https://paulhshapiro.substack.com/","Substack","alternative protein; business; animal agriculture","Industry-facing writing from the author of Clean Meat and a cultivated-food entrepreneur.","root plus highlights","","public subscription of Peter Singer","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed/focused industry"
"Project Phoenix","https://projectphoenixuk.substack.com/","Substack","animal freedom; UK movement strategy","Field-building and strategy for the UK animal-freedom movement.","focused root","","public subscription and recommendation of Animal Think Tank","Public Substack publication; per-publication robots, paywall, and license need checking.","focused advocacy"
"The Friendly Vegan","https://friendlyvegan.substack.com/","Substack","veganism; animal-friendly living; advocacy news","A low-conflict, practical presentation of vegan and animal-advocacy ideas.","focused root","","public subscription of Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused; introductory"
"Shadow Price","https://shadowprice.substack.com/","Substack","animal-welfare economics; policy; valuation","Economic reasoning about animal welfare, a relatively sparse part of the candidate pool.","focused root","","public subscription of Lewis Bollard","Public Substack publication; per-publication robots, paywall, and license need checking.","focused economics"
"The Urban Animal","https://urbananimal.substack.com/","Substack","animal rescue; law; direct action; beagles","First-person and legal writing around open rescue and animal experimentation.","focused root","","public subscriptions of Lewis Bollard and Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused advocacy/law"
"Our Hen House","https://ourhenhouse.substack.com/","Substack","animal advocacy; interviews; movement news","A long-running animal-advocacy media project with interviews and practical movement knowledge.","focused root","","public subscription of Wayne Hsiung","Public Substack publication; many entries are podcast-led; transcript availability and rights need checking.","focused; audio/text mix"
"Hive Highlights","https://joinhive.substack.com/","Substack","animal advocacy; community; movement opportunities","Movement updates and resources from an animal-advocacy community.","focused root","","recommendation from Animal Think Tank","Public Substack publication; per-publication robots, paywall, and license need checking.","focused movement news"
"The European Institute for Animal Law & Policy's Newsletter","https://animallaweurope.substack.com/","Substack","EU animal law; policy; legislation","Monthly and quarterly analysis of European animal-law and policy developments.","focused root","","recommendation from Coefficient Giving newsletter","Public Substack publication; per-publication robots, paywall, and license need checking.","focused law/policy"
"Dao Foods","https://daofoods.substack.com/","Substack","alternative protein; China; food systems","Writing on bringing alternative proteins to China adds a major geographic and industrial perspective.","focused root","","recommendation from Coefficient Giving newsletter","Public Substack publication; per-publication robots, paywall, and license need checking.","focused food systems/China"
"Good Signal","https://www.goodsignal.com/","Substack on custom domain","alternative protein; investment; markets","Investor analysis of alternative-protein markets and companies.","focused root","","recommendation from Coefficient Giving newsletter","Public Substack publication; per-publication robots, paywall, and license need checking.","focused industry"
"Food From Thought","https://unovisassetmanagement.substack.com/","Substack","alternative protein; investment; food systems","Investment and industry analysis from a fund focused on replacing animal agriculture.","focused root","","recommendation from Coefficient Giving newsletter","Public Substack publication; per-publication robots, paywall, and license need checking.","focused industry"
"Good Thoughts","https://www.goodthoughts.blog/","Substack on custom domain","consequentialism; animal ethics; moral philosophy","Careful consequentialist analysis, with animal-specific pieces inside a broader philosophy root.","root plus highlights","","public subscriptions of Peter Singer and Flo Bacus; recommendation from Bentham's Newsletter","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed root"
"celeste-land","https://ceselder.substack.com/","Substack","utilitarianism; veganism; effective altruism; personal ethics","A mixed personal and philosophical publication with recurring vegan and effective-altruist reasoning.","root plus highlights","","recommendation from Bentham's Newsletter","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed root"
"Andy Masley","https://blog.andymasley.com/","Substack on custom domain","philosophy; ethics; animal welfare; quantitative reasoning","A broad philosophy blog repeatedly recommended within the seed network; animal-specific highlights should be selected after review.","root plus highlights","","recommendations from Bentham's Newsletter and More Than Meats The Eye; public subscriptions across seed profiles","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed root"
"Marina Bolotnikova","https://mbolotnikova.substack.com/","Substack","animal reporting; factory farming; policy","Independent reporting and analysis by a journalist with substantial animal-welfare work.","root plus highlights","","public subscriptions of Wayne Hsiung and Flo Bacus","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed root"
"duck dive","https://duckdives.substack.com/","Substack","animals; moral psychology; conceptual framing","Writing specifically about how people think about animals.","focused root","","public subscription of Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","focused reasoning"
"The Disagreement Theorem","https://tejassubramaniam.substack.com/","Substack","animal welfare; economics; technology; development","Applies economic reasoning across animal welfare and other high-impact domains.","root plus highlights","","public subscription of Bentham's Bulldog","Public Substack publication; per-publication robots, paywall, and license need checking.","mixed root"
"Animal Ethics","https://www.animal-ethics.org/","independent nonprofit site","speciesism; sentience; wild animals; aquatic animals; insects; future suffering; AI","One of the broadest focused libraries in the pool, with systematic introductions and deep topic trees.","focused root","https://www.animal-ethics.org/wild-animal-suffering-section/; https://www.animal-ethics.org/ethics-animals-section/; https://www.animal-ethics.org/why-we-should-consider-sentient-beings-rather-than-ecosystems/","independent subject-gap survey","Public HTML, robots, sitemap, and open navigation; no AI-specific block or sitewide CC notice found 2026-08-19.","focused cornerstone"
"Sentience Research","https://sentience-research.org/","independent research site","sentience; consciousness; evidence; moral status","A specialized evidence hub on which beings may be sentient and how uncertainty should affect treatment.","focused root","","independent subject-gap survey","Public HTML and sitemap; no AI-specific block or sitewide CC notice found 2026-08-19.","focused research"
"Sentientism","https://sentientism.info/","independent nonprofit/community site","sentience-centered ethics; moral circle; philosophy; interviews","Develops a general ethical framework centered on evidence and sentient experience, not only conventional animal advocacy.","focused root","https://sentientism.info/what-is-sentientism/an-overview; https://sentientism.info/resources/articles","independent subject-gap survey","Public HTML and sitemap; no AI-specific block found in initial survey; license needs page-level verification.","focused ethics"
"Faunalytics","https://faunalytics.org/","research nonprofit","animal-welfare research; surveys; data; movement strategy","A large, durable research library and data source spanning farmed, companion, wild, and aquatic animals.","focused root","https://faunalytics.org/?s=&post_type=post&orderby=post_date&order=desc&explore=true","user's original example; independent subject-gap survey","Public HTML, RSS, sitemap, and research library; no AI-specific block or sitewide CC notice found 2026-08-19.","focused cornerstone"
"Rethink Priorities — Animal Welfare","https://rethinkpriorities.org/research/animal-welfare/","research nonprofit","welfare measurement; invertebrates; farmed animals; strategy; global research","Deep original research in neglected animal populations and methodological questions.","section root","https://rethinkpriorities.org/research/animal-welfare/","independent subject-gap survey","Public HTML and sitemap; no AI-specific block or sitewide CC notice found 2026-08-19.","focused section"
"Wild Animal Initiative","https://www.wildanimalinitiative.org/","research nonprofit","wild-animal welfare; ecology; interventions; field building","The leading research-focused institution devoted to improving the welfare of wild animals.","focused root","https://www.wildanimalinitiative.org/research; https://www.wildanimalinitiative.org/blog","independent subject-gap survey","Public HTML, sitemap, research, and blog; no AI-specific block or sitewide CC notice found 2026-08-19.","focused cornerstone"
"Wild Animal Suffering Research","https://was-research.org/","independent research site","wild-animal suffering; population dynamics; interventions","A specialized archive on the scale and causes of suffering in nature.","focused root","","independent subject-gap survey","Public HTML; rights and current maintenance status need verification.","focused wild animals"
"Center for Wild Animal Welfare","https://wildanimalwelfare.org/","policy nonprofit","wild-animal welfare; poisons; fertility control; urban infrastructure","A policy-focused group working on humane alternatives to lethal control and preventable urban harms.","focused root","","targeted neglected-species search","Public HTML, but currently a sparse organizational site rather than a deep library; copyright and AI signals need checking.","focused wild animals; watch as it grows"
"Fifth Industrial","https://ecotech.substack.com/","Substack","wild-animal welfare; bioethics; post-animal bioeconomy; biotechnology","A mixed biotechnology and ecology publication with a substantial introduction to wild-animal welfare and related post-animal food-system writing.","root plus highlights","https://ecotech.substack.com/p/wild-animal-welfare","targeted neglected-species search","Public Substack publication; the root is broad and per-publication robots, paywall, and license need checking.","mixed root"
"Fish Welfare Initiative","https://www.fishwelfareinitiative.org/","nonprofit","fish welfare; aquaculture; interventions; field evidence","Practical evidence from welfare interventions in aquaculture, an enormous and neglected population.","focused root","https://www.fishwelfareinitiative.org/blog; https://www.fishwelfareinitiative.org/blog/tags/r-d","independent subject-gap survey","Public HTML and sitemap; no AI-specific block found. The site says all images and information are freely available for anyone's use, a strong positive signal but not a standard-form license.","focused aquatic"
"Shrimp Welfare Project","https://www.shrimpwelfareproject.org/","nonprofit","shrimp welfare; aquaculture; stunning; corporate reform","A concrete body of work on welfare for animals often omitted even from fish-welfare discussions.","focused root","https://www.shrimpwelfareproject.org/research","independent subject-gap survey","Public HTML and sitemap; no AI-specific block or sitewide CC notice found 2026-08-19.","focused aquatic/invertebrates"
"Aquatic Life Institute","https://www.aquaticlifeinstitute.org/","nonprofit","aquatic animals; standards; policy; certification","Cross-species aquatic-welfare work covering standards, policy, and industry systems.","focused root","https://www.aquaticlifeinstitute.org/resources","independent subject-gap survey","Public HTML; detailed robots and license review still needed.","focused aquatic"
"Animal Welfare Observatory","https://animalwelfareobservatory.org/actualidad/blog-oba/","research/advocacy nonprofit","factory farming; fish; shrimp; legislation; welfare washing","A bilingual English/Spanish blog with subject filters and recurring research-based posts on farmed and aquatic animals.","blog section root","","targeted neglected-species search","Public HTML and browsable subject filters; detailed license and AI-signal review still needed.","focused blog; bilingual"
"Insect Welfare Research Society","https://www.insectwelfare.com/","research society","insect sentience; insect farming; research methods","A concentrated scientific and field-building source for insect welfare.","focused root","","independent subject-gap survey","Public HTML; no AI-specific block or sitewide CC notice found 2026-08-19.","focused invertebrates"
"The Insect Institute","https://www.insectinstitute.org/","research project","insect farming; insect welfare; food systems; policy","Evidence-based analysis of the welfare, public-health, and sustainability problems surrounding insect farming.","focused root","https://insectinstitute.org/in-the-media","targeted neglected-species search; linked by Fish Welfare Initiative","Public HTML; site states that content is copyright Rethink Priorities or its authors unless otherwise noted.","focused invertebrates"
"Welfare Footprint Project","https://welfarefootprint.org/","research project","pain measurement; welfare impact; farmed animals; cumulative suffering","Offers a quantitative framework for severity and duration of animal suffering.","focused root","https://welfarefootprint.org/research-projects/","independent subject-gap survey","Public HTML and research pages; no AI-specific block or sitewide CC notice found 2026-08-19.","focused methods"
"Animal Ask","https://animalask.org/","research nonprofit","policy research; campaigns; farmed animals; decision support","Applied research aimed at choosing high-impact animal-welfare policies and campaigns.","focused root","https://animalask.org/research/","independent subject-gap survey","Public HTML and research library; no AI-specific block or sitewide CC notice found 2026-08-19.","focused applied research"
"Sentience Institute","https://www.sentienceinstitute.org/","research nonprofit","moral-circle expansion; social movements; sentience; historical case studies","Research on how societies expand moral consideration and how movements create durable change.","focused root","https://www.sentienceinstitute.org/reports; https://www.sentienceinstitute.org/aims-survey","independent subject-gap survey","Public HTML and research library; detailed license and AI-signal review still needed.","focused strategy/research"
"Center for Reducing Suffering","https://centerforreducingsuffering.org/","research nonprofit","suffering-focused ethics; wild animals; future suffering; moral uncertainty","Rigorous work on reducing severe suffering across present and future sentient beings.","focused root","https://centerforreducingsuffering.org/blog/; https://centerforreducingsuffering.org/five-questions-about-wild-animal-suffering/","independent subject-gap survey; public subscription of Bentham's Bulldog","Public HTML; no AI-specific block or sitewide CC notice found 2026-08-19.","focused ethics/future"
"Animal Charity Evaluators","https://animalcharityevaluators.org/","research nonprofit","charity evaluation; intervention research; movement strategy","Detailed models and reviews of interventions intended to improve animal welfare.","focused root","https://animalcharityevaluators.org/research/","independent subject-gap survey","Public HTML and research library; detailed license and AI-signal review still needed.","focused evaluation"
"Open Philanthropy — Farm Animal Welfare","https://www.openphilanthropy.org/focus/farm-animal-welfare/","philanthropic research site","factory farming; grants; strategy; global policy","Grant rationales and strategy documents reveal intervention assumptions, uncertainties, and evidence.","section root","https://www.openphilanthropy.org/focus/farm-animal-welfare/; https://www.openphilanthropy.org/grants/?q=&focus-area%5B%5D=farm-animal-welfare","independent subject-gap survey","Public HTML; broad parent domain, so use the section and grant-filter URLs; rights need review.","focused section on broad root"
"Effective Altruism Forum — Animal Welfare","https://forum.effectivealtruism.org/topics/animal-welfare","community forum topic","animal welfare; prioritization; research; strategy; debate","A large, frequently updated discussion corpus with explicit uncertainty and disagreement.","topic root plus highlights","https://forum.effectivealtruism.org/topics/animal-welfare","independent subject-gap survey","Public HTML and topic navigation; mixed authorship, per-post rights, and platform terms require careful review.","focused topic on broad platform"
"Our World in Data","https://ourworldindata.org/","data/research nonprofit","animal agriculture; slaughter; food systems; global trends","High-quality charts and explainers establish the scale and historical trajectory of animal use.","root plus topic highlights","https://ourworldindata.org/animal-welfare; https://ourworldindata.org/meat-production; https://ourworldindata.org/how-many-animals-get-slaughtered-every-day","user suggestion; independent subject-gap survey","Public HTML, downloadable data, and charts; broad root; check OWID's specific license and attribution terms before reuse.","broad root with strong highlights"
"Sentient Media","https://sentientmedia.org/","nonprofit newsroom","factory farming; food systems; animals; climate; policy","Continually updated reporting that connects welfare to industry, policy, and public understanding.","focused root","","user suggestion; independent subject-gap survey","Public HTML, news archive, and sitemap; standard publication copyright unless otherwise marked.","focused reporting"
"Inside Animal Ag","https://insideanimalag.org/","nonprofit newsroom","animal agriculture; industry; policy; accountability","Specialized reporting on institutions and practices inside animal agriculture.","focused root","","user suggestion; independent subject-gap survey","Public HTML and article archive; standard publication copyright unless otherwise marked.","focused reporting"
"Animal Policy Alliance","https://www.animalpolicyalliance.org/","policy nonprofit","animal policy; political institutions; legislation","Policy analysis and institutional work can fill the gap between ethics and enforceable rules.","focused root","","independent subject-gap survey","Public HTML; detailed rights and archive review still needed.","focused policy"
"Harvard Animal Law & Policy Program","https://animal.law.harvard.edu/","university program","animal law; policy; scholarship; events","Research and legal analysis from a major animal-law center.","focused root","https://animal.law.harvard.edu/publications/","independent subject-gap survey","Public HTML; copyright varies across university pages and linked scholarship.","focused law"
"Brooks Institute","https://thebrooksinstitute.org/","research institute","animal law; policy; scholarship; animal studies","A substantial library and network hub for animal law and animal studies.","focused root","https://thebrooksinstitute.org/animal-law-digest","independent subject-gap survey","Public HTML; linked publications have varied rights.","focused law/research"
"Animal Legal & Historical Center","https://www.animallaw.info/","university legal database","animal law; statutes; cases; legal history","A deep legal reference database with species- and issue-specific collections.","focused root","","independent subject-gap survey","Public HTML and database navigation; Michigan State copyright/terms require review.","focused legal reference"
"Oxford Centre for Animal Ethics","https://www.oxfordanimalethics.com/","independent academic center","animal ethics; theology; philosophy; policy","Academic and religious animal-ethics work from traditions underrepresented in the rest of the pool.","focused root","https://www.oxfordanimalethics.com/what-we-do/publication/journal-of-animal-ethics/","independent subject-gap survey","Public HTML; many publications are links or books with separate copyright.","focused ethics"
"Animals & Society Institute","https://www.animalsandsociety.org/","research nonprofit","human-animal studies; policy; scholarship; education","Interdisciplinary material on institutions, culture, and human-animal relations.","focused root","https://www.animalsandsociety.org/human-animal-studies/","independent subject-gap survey","Public HTML; linked scholarship has varied rights.","focused interdisciplinary"
"Animal Studies Journal","https://www.uowoajournals.org/asj/","open-access journal","animal studies; ethics; culture; law","Open-to-read scholarship across animal studies, including normative and social analysis.","focused journal root","","independent subject-gap and rights survey","Public HTML/PDF, but articles retain author copyright and the journal states that reuse beyond statutory exceptions needs prior permission; not Creative Commons.","focused scholarship; rights caution"
"Relations: Beyond Anthropocentrism","https://www.ledonline.it/index.php/Relations/","open-access journal","anthropocentrism; animal ethics; environmental ethics","Open interdisciplinary scholarship explicitly challenging human-centered moral frameworks.","focused journal root","","independent subject-gap and rights survey","Public HTML/PDF under CC BY-NC-ND 4.0. Noncommercial use is allowed with attribution, but derivatives are prohibited, making training use legally unclear or unsuitable.","focused scholarship; rights caution"
"Between the Species","https://digitalcommons.calpoly.edu/bts/","open-access journal","animal ethics; philosophy; human-animal relations","A long-running open-to-read animal-philosophy journal.","focused journal root","","independent subject-gap and rights survey","Public HTML/PDF, but no Creative Commons license; reuse outside narrow personal-use exceptions requires written agreement.","focused scholarship; rights caution"
